#MeV,dN/dE. a.u.
275.6341562,17.30192
276.3707768,12.95696
277.1110753,15.98
277.8550767,11.01408
278.6028062,11.94736
279.3542891,13.71504
280.1095512,10.77072
280.8686183,9.7224
281.6315164,14.26528
282.3982719,16.58016
283.1689114,14.15568
283.9434617,18.11888
284.7219499,13.78848
285.5044032,12.62272
286.2908493,8.63968
287.0813159,9.9496
287.8758312,10.0064
288.6744236,3.41664
289.4771216,4.1432
290.2839543,5.26336
291.0949507,7.03648
291.9101405,6.93264
292.7295533,4.932
293.5532194,7.03968
294.381169,2.18976
295.2134329,2.84784
296.050042,-1.04512
296.8910279,-2.12688
297.736422,0.08544
298.5862564,1.75504
299.4405635,0.55248
300.2993759,-1.28912
301.1627267,-2.3464
302.0306492,-2.2768
302.9031772,-0.49488
303.7803448,-1.14368
304.6621865,-0.29856
305.5487373,3.80832
306.4400323,6.58656
307.3361073,1.18176
308.2369982,1.81056
309.1427417,3.5256
310.0533746,4.28336
310.9689342,3.67696
311.8894583,0.50336
312.8149851,-1.64208
313.7455532,0.3952
314.6812019,0.5896
315.6219705,2.9544
316.5678992,-2.98416
317.5190286,0.92124
318.4753996,1.45432
319.4370538,2.39728
320.4040332,1.40896
321.3763804,0.59412
322.3541384,-0.10824
323.3373509,-0.398
324.326062,-0.3378
325.3203165,0.1546
326.3201597,1.05904
327.3256373,1.36416
328.3367959,1.59684
329.3536825,2.28976
330.3763448,1.52
331.404831,0.8936
332.4391901,0.16216
333.4794716,-0.11932
334.5257258,-0.62324
335.5780034,-0.29412
336.636356,0.09528
337.7008358,-0.4682
338.7714959,-0.6998
339.8483897,-0.34916
340.9315718,0.27836
342.0210971,0.65148
343.1170216,1.38552
344.2194019,1.10452
345.3282954,0.67596
346.4437603,0.90268
347.5658555,1.0962
348.6946409,1.55408
349.8301771,1.60956
350.9725257,1.15812
352.121749,0.34076
353.2779102,0.19408
354.4410735,0.88904
355.6113039,0.73244
356.7886673,1.23516
357.9732308,1.19108
359.1650621,0.59744
360.3642301,1.3306
361.5708046,1.2188
362.7848564,1.6132
364.0064575,1.211
365.2356806,1.29268
366.4725998,1.88652
367.7172902,1.81124
368.9698277,2.46976
370.2302898,1.41196
371.4987547,0.344
372.775302,0.60652
374.0600124,0.20564
375.3529678,0.53412
376.6542513,0.68716
377.9639473,-0.05404
379.2821414,-0.57036
380.6089204,-1.07536
381.9443724,-0.52496
383.2885871,-1.24416
384.6416551,-1.25036
386.0036688,-0.76988
387.3747215,-0.74628
388.7549084,-0.6744
390.1443258,-0.01388
391.5430716,0.22912
392.9512451,-0.6086
394.3689472,-0.4754
395.7962802,-0.18716
397.2333479,0.36768
398.680256,1.093
400.1371115,1.78656
401.6040231,1.58908
403.0811012,1.74192
404.5684579,1.5634
406.0662068,1.21348
407.5744636,1.09004
409.0933454,-0.1522
410.6229714,-0.56776
412.1634623,-1.11872
413.714941,-1.12892
415.277532,-0.5712
416.8513619,-0.27724
418.436559,0.32744
420.0332539,0.54104
421.6415789,0.69192
423.2616685,1.09392
424.8936593,0.50604
426.5376898,0.33604
428.1939008,-0.31116
429.8624351,-0.49972
431.5434381,0.06908
433.2370569,0.04412
434.9434411,0.55204
436.6627428,1.64108
438.3951161,1.51964
440.1407177,1.02576
441.8997066,1.07476
443.6722442,0.55724
445.4584946,1.35048
447.2586242,2.2192
449.0728021,3.36144
450.9011999,3.73316
452.7439919,4.1374
454.6013552,3.3912
456.4734692,2.5742
458.3605166,1.53968
460.2626826,0.1142
462.1801552,0.1588
464.1131255,-0.9628
466.0617874,-2.00724
468.0263377,-2.28212
470.0069765,-1.69136
472.0039065,-1.19088
474.0173341,-1.14332
476.0474683,-0.90676
478.0945217,-0.56888
480.1587099,-0.09504
482.240252,1.50748
484.3393703,1.94908
486.4562905,1.4586
488.5912418,1.08488
490.7444569,-1.11112
492.9161721,-2.50252
495.1066271,-2.82236
497.3160654,-3.58332
499.5447343,-1.87728
501.7928846,-0.46716
504.0607712,0.06156
506.3486526,1.69348
508.6567914,1.54848
510.9854542,0.94904
513.3349113,0.26988
515.7054376,-1.3794
518.0973119,-0.46896
520.510817,1.30056
522.9462404,2.42004
525.4038736,4.6436
527.8840127,3.77516
530.3869581,2.3132
532.9130147,1.59268
535.4624922,0.72704
538.0357047,1.37436
540.6329712,1.40368
543.2546153,0.97044
545.9009656,0.1434
548.5723554,-0.98256
551.2691233,-0.73624
553.9916127,-0.12756
556.7401721,-0.71556
559.5151553,-0.09028
562.3169214,-0.21912
565.1458347,-1.82656
568.0022648,-1.29936
570.8865872,-2.28372
