15.12776,1.30367
62.59796,1.30278
97.07473,1.30183
131.55333,1.30310
165.09177,1.30452
200.51315,1.30879
234.99907,1.31891
269.49519,1.34137
303.99392,1.36699
338.49892,1.40020
373.01481,1.44659
407.55258,1.51945
438.95062,1.58577
465.65611,1.66290
490.79108,1.73596
514.81179,1.81524
535.92678,1.90024
556.04036,1.99257
574.12641,2.06964
592.99986,2.15131
610.14059,2.24337
625.17920,2.32023
646.10902,2.41444
663.81723,2.50839
682.69266,2.59247
697.37270,2.65684
722.28491,2.74767
746.75279,2.83240
769.14151,2.90098
800.55123,2.98142
836.37802,3.03377
868.84101,3.05157
902.99053,3.04363
938.48028,3.00420
969.76887,2.93809
1001.06949,2.88653
1033.92761,2.82327
1063.98037,2.73667
1091.43844,2.67095
1119.92820,2.58938
1149.64510,2.51778
1180.92593,2.44228
1213.77816,2.37190
1246.62192,2.29127
1279.47164,2.21786
1313.89717,2.15491
1348.37865,2.15966
1382.88653,2.19635
1417.40095,2.24095
1451.90699,2.27543
1486.40651,2.30200
1520.89740,2.31813
1555.38515,2.33046
1589.86819,2.33711
1624.34287,2.33363
1658.80527,2.31528
1693.27707,2.30832
1727.73476,2.28428
1763.23239,2.25439
1796.63680,2.22007
1831.09554,2.19730
1865.52839,2.14321
1899.96177,2.08975
1934.37737,2.01479
1964.09087,1.93907
1992.24004,1.86679
2021.95384,1.79144
2048.52925,1.71117
2074.71235,1.63028
2101.67903,1.54938
2126.69107,1.47370
2153.26792,1.39518
2182.97942,1.31704
2214.26342,1.24537
2247.11408,1.17309
2281.53177,1.10066
2315.95312,1.03265
2350.37526,0.96559
2384.80367,0.90613
2419.24463,0.86185
2453.69291,0.82642
2485.02533,0.81335
